Plant code;Primary Plant activity;Audit code;Audit date;Audit nature;Audit schedule type;Non-verified NCs;Non-verified Business Critical NCs;Non-verified Critical NCs;Non-verified Major NCs;Non-verified Minor NCs;Overdue non-verified NCs;Country/Region
XXX1000048715;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600123841;07/01/2026;Full initial audit;Announced;8;0;2;5;1;1;France
XXX1000049056;Packaging activities;XXXA600126576;24/04/2025;Full initial audit;Announced;2;0;0;1;1;2;Greece
XXX1000049305;Manufacture of other food products n.e.c.;XXXA600158204;01/12/2025;Full initial audit;Semi-announced;0;0;0;0;0;0;Brazil
XXX1000049471;Other manufacturing n.e.c.;XXXA600115728;17/03/2025;Full initial audit;Announced;3;0;1;1;1;3;India
XXX1000049581;Warehousing and storage;;;;;;;;;;;Lithuania
XXX1000049913;Warehousing and storage;XXXA600115906;12/03/2025;Full initial audit;Announced;9;0;0;6;3;9;Germany
XXX1000050030;Manufacture of dairy products;XXXA600123935;06/05/2025;Full initial audit;Semi-announced;4;0;1;3;0;4;Belgium
XXX1000050175;Manufacture of other articles of paper and paperboard;;;;;;;;;;;United States
XXX1000050440;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600103127;09/12/2024;Full initial audit;Announced;0;0;0;0;0;0;Argentina
XXX1000050457;Manufacture of other food products n.e.c.;XXXA600147388;10/12/2025;Periodic audit;Semi-announced;4;0;0;2;2;4;United States
XXX1000050514;;;;;;;;;;;;China
XXX1000050670;Manufacture of other food products n.e.c.;XXXA600104146;18/02/2025;Full initial audit;Semi-announced;0;0;0;0;0;0;Norway
XXX1000050712;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600102651;02/12/2024;Full initial audit;Announced;0;0;0;0;0;0;Argentina
XXX1000051;Manufacture of plastics products;;;;;;;;;;;Egypt
XXX1000051168;Manufacture of other food products n.e.c.;XXXA600153744;17/09/2025;Partial follow-up audit;Semi-announced;0;0;0;0;0;0;Argentina
XXX1000052028;Manufacture of plastics products;;;;;;;;;;;Sweden
XXX1000052071;Manufacture of plastics products;;;;;;;;;;;Mexico
XXX1000052111;Other personal service activities n.e.c.;;;;;;;;;;;Thailand
XXX1000052383;Manufacture of dairy products;XXXA600158283;30/09/2025;Partial follow-up audit;Announced;3;0;0;3;0;3;Philippines
XXX1000052433;Warehousing and storage;XXXA600108573;21/01/2025;Full initial audit;Announced;0;0;0;0;0;0;Bulgaria
XXX1000052704;Manufacture of other chemical products n.e.c.;XXXA600174520;22/12/2025;Periodic audit;Semi-announced;2;0;0;2;0;2;Thailand
XXX1000053138;Manufacture of cocoa, chocolate and sugar confectionery;;;;;;;;;;;China
XXX1000053471;Other food service activities;XXXA600169105;21/12/2025;Periodic audit;Announced;0;0;0;0;0;0;Egypt
XXX1000053610;Manufacture of dairy products;XXXA600129435;06/05/2025;Full initial audit;Announced;3;0;0;2;1;3;Italy
XXX1000053826;Warehousing and storage;XXXA600171597;15/12/2025;Full initial audit;Announced;1;0;0;0;1;1;Germany
XXX1000054010;Manufacture of dairy products;XXXA600189025;20/03/2026;Partial follow-up audit;Announced;0;0;0;0;0;0;United States
XXX1000054011;Manufacture of dairy products;XXXA600176305;20/02/2026;Partial follow-up audit;Announced;0;0;0;0;0;0;United States
XXX1000054012;Manufacture of dairy products;XXXA600172566;24/04/2026;Partial follow-up audit;Announced;0;0;0;0;0;0;United States
XXX1000054099;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600115374;12/03/2025;Full initial audit;Announced;7;0;2;4;1;7;Italy
XXX1000054226;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600176199;20/12/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;Viet Nam
XXX1000054310;Manufacture of sugar;XXXA600105323;17/12/2024;Full initial audit;Announced;0;0;0;0;0;0;India
XXX1000054467;Warehousing and storage;XXXA600149901;07/08/2025;Partial follow-up audit;Semi-announced;4;0;0;4;0;4;China
XXX1000054627;Manufacture of other food products n.e.c.;;;;;;;;;;;China
XXX1000054834;Activities of extraterritorial organizations and bodies;XXXA600126478;09/10/2025;Partial follow-up audit;Announced;1;0;0;1;0;1;France
XXX1000054971;Packaging activities;XXXA600121919;26/03/2025;Full initial audit;Announced;3;0;1;1;1;3;Brazil
XXX1000055932;Manufacture of grain mill products;XXXA600109040;17/03/2025;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1000056023;Manufacture of plastics products;;;;;;;;;;;Finland
XXX1000056077;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600103204;05/12/2024;Full initial audit;Announced;4;0;0;4;0;4;India
XXX1000056140;Warehousing and storage;;;;;;;;;;;Mexico
XXX1000057001;Printing;XXXA600201022;27/04/2026;Periodic audit;Semi-announced;4;0;2;1;1;0;Brazil
XXX1000057011;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600125008;15/05/2025;Full initial audit;Announced;2;0;0;2;0;2;United States
XXX1000057484;Warehousing and storage;XXXA600124609;07/04/2025;Full initial audit;Announced;7;0;2;3;2;7;Pakistan
XXX1000057539;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;Canada
XXX1000057542;Manufacture of bakery products;XXXA600151553;20/08/2025;Partial follow-up audit;Semi-announced;0;0;0;0;0;0;United States
XXX1000057581;Manufacture of plastics products;;;;;;;;;;;United States
XXX1000058421;Manufacture of dairy products;XXXA600158893;24/09/2025;Full initial audit;Semi-announced;3;0;0;3;0;3;Argentina
XXX1000058430;Manufacture of other food products n.e.c.;;;;;;;;;;;Mexico
XXX1000058544;Manufacture of prepared meals and dishes;XXXA600182715;03/03/2026;Periodic audit;Semi-announced;0;0;0;0;0;0;United Kingdom
XXX1000058671;Warehousing and storage;XXXA600125229;08/04/2025;Full initial audit;Announced;0;0;0;0;0;0;Poland
XXX1000059609;Packaging activities;XXXA600172848;03/12/2025;Full initial audit;Announced;0;0;0;0;0;0;Belgium
XXX1000060012;Warehousing and storage;XXXA600158551;15/12/2025;Full initial audit;Announced;11;0;0;11;0;10;Poland
XXX1000060186;Manufacture of vegetable and animal oils and fats;;;;;;;;;;;Australia
XXX1000060240;Manufacture of dairy products;XXXA600116106;26/03/2025;Full initial audit;Announced;0;0;0;0;0;0;Egypt
XXX1000060407;Packaging activities;;;;;;;;;;;Pakistan
XXX1000060408;Manufacture of starches and starch products;XXXA600136068;04/06/2025;Full initial audit;Semi-announced;0;0;0;0;0;0;Pakistan
XXX1000060526;Manufacture of other food products n.e.c.;XXXA600178167;15/01/2026;Full initial audit;Announced;6;0;0;5;1;6;Belgium
XXX1000060706;Manufacture of other food products n.e.c.;XXXA600157673;01/10/2025;Full initial audit;Semi-announced;7;0;2;4;1;7;United States
XXX1000060756;Manufacture of sugar;;;;;;;;;;;China
XXX1000060756;Manufacture of sugar;;;;;;;;;;;China
XXX1000062;Manufacture of pharmaceuticals, medicinal chemical and botanical products;;;;;;;;;;;India
XXX1000062539;Manufacture of grain mill products;XXXA600135594;02/07/2025;Full initial audit;Announced;15;0;0;11;4;15;United States
XXX1000062631;Manufacture of dairy products;XXXA600189166;09/03/2026;Partial follow-up audit;Semi-announced;0;0;0;0;0;0;Malaysia
XXX1000063030;Other manufacturing n.e.c.;XXXA600202322;20/05/2026;Periodic audit;Announced;3;0;1;1;1;0;Mexico
XXX1000063134;Warehousing and storage;XXXA600153840;01/09/2025;Full initial audit;Semi-announced;7;0;3;4;0;7;South Africa
XXX1000063134;Warehousing and storage;XXXA600153840;01/09/2025;Full initial audit;Semi-announced;7;0;3;4;0;7;South Africa
XXX1000063401;Manufacture of cocoa, chocolate and sugar confectionery;;;;;;;;;;;Canada
XXX1000063527;Manufacture of dairy products;XXXA600159567;21/10/2025;Full initial audit;Announced;0;0;0;0;0;0;Spain
XXX1000063528;Manufacture of other food products n.e.c.;XXXA600141695;01/07/2025;Full initial audit;Announced;10;0;1;7;2;10;Serbia
